index,id,time_mmss,text,speaker_role,spatial_anchor,voice_label,voice,style_label,style,styledegree,rate,pitch,volume,output_format,download_filename,audio_clip,note
15,emotion_tts_015,03:09.947,哈哈哈哈哈哈,amused_fan,seat_front,晓悠(儿童女),zh-CN-XiaoyouNeural,兴奋,excited,1.45,+24%,+12%,x-loud,riff-16khz-16bit-mono-pcm,emotion_tts_015.wav,Audio/TTS/emotion_tts_015.wav,"short laugh reactions should be fast, bright, and varied"
16,emotion_tts_016,03:12.662,哈哈，笑死了。,amused_fan,seat_back,晓晓(年轻女),zh-CN-XiaoxiaoNeural,开心,cheerful,1.45,+24%,+10%,x-loud,riff-16khz-16bit-mono-pcm,emotion_tts_016.wav,Audio/TTS/emotion_tts_016.wav,"short laugh reactions should be fast, bright, and varied"
17,emotion_tts_017,03:20.913,哈哈哈哈,amused_fan,seat_left,晓伊(年轻女),zh-CN-XiaoyiNeural,轻松聊天,chat,1.45,+24%,+8%,x-loud,riff-16khz-16bit-mono-pcm,emotion_tts_017.wav,Audio/TTS/emotion_tts_017.wav,"short laugh reactions should be fast, bright, and varied"
18,emotion_tts_018,03:43.383,哈哈哈哈哈,amused_fan,seat_right,晓双(儿童女),zh-CN-XiaoshuangNeural,开心,cheerful,1.45,+24%,+14%,x-loud,riff-16khz-16bit-mono-pcm,emotion_tts_018.wav,Audio/TTS/emotion_tts_018.wav,"short laugh reactions should be fast, bright, and varied"
19,emotion_tts_019,03:47.977,哈哈哈哈哈哈哈,amused_fan,seat_front,晓悠(儿童女),zh-CN-XiaoyouNeural,兴奋,excited,1.45,+24%,+12%,x-loud,riff-16khz-16bit-mono-pcm,emotion_tts_019.wav,Audio/TTS/emotion_tts_019.wav,"short laugh reactions should be fast, bright, and varied"
20,emotion_tts_020,03:47.977,哈哈哈哈哈,amused_fan,seat_back,晓晓(年轻女),zh-CN-XiaoxiaoNeural,开心,cheerful,1.45,+24%,+10%,x-loud,riff-16khz-16bit-mono-pcm,emotion_tts_020.wav,Audio/TTS/emotion_tts_020.wav,"short laugh reactions should be fast, bright, and varied"
21,emotion_tts_021,03:49.260,哈哈哈,amused_fan,seat_left,晓伊(年轻女),zh-CN-XiaoyiNeural,轻松聊天,chat,1.45,+24%,+8%,x-loud,riff-16khz-16bit-mono-pcm,emotion_tts_021.wav,Audio/TTS/emotion_tts_021.wav,"short laugh reactions should be fast, bright, and varied"
22,emotion_tts_022,03:51.429,哈哈哈哈。,amused_fan,seat_right,晓双(儿童女),zh-CN-XiaoshuangNeural,开心,cheerful,1.45,+24%,+14%,x-loud,riff-16khz-16bit-mono-pcm,emotion_tts_022.wav,Audio/TTS/emotion_tts_022.wav,"short laugh reactions should be fast, bright, and varied"
23,emotion_tts_023,04:00.681,哈哈哈哈哈哈,amused_fan,seat_front,晓悠(儿童女),zh-CN-XiaoyouNeural,兴奋,excited,1.45,+24%,+12%,x-loud,riff-16khz-16bit-mono-pcm,emotion_tts_023.wav,Audio/TTS/emotion_tts_023.wav,"short laugh reactions should be fast, bright, and varied"
24,emotion_tts_024,04:11.768,摇起来了！,excited_fan,seat_back,晓梦(年轻女),zh-CN-XiaomengNeural,开心,cheerful,1.35,+14%,+9%,x-loud,riff-16khz-16bit-mono-pcm,emotion_tts_024.wav,Audio/TTS/emotion_tts_024.wav,positive reactions should sound present but not like formal narration
25,emotion_tts_025,04:17.637,这位可真帅啊,excited_fan,seat_left,云扬(成年男),zh-CN-YunyangNeural,兴奋,excited,1.35,+14%,+3%,x-loud,riff-16khz-16bit-mono-pcm,emotion_tts_025.wav,Audio/TTS/emotion_tts_025.wav,positive reactions should sound present but not like formal narration
26,emotion_tts_026,05:29.973,笑起来！,amused_fan,seat_right,晓晓(年轻女),zh-CN-XiaoxiaoNeural,开心,cheerful,1.45,+24%,+10%,x-loud,riff-16khz-16bit-mono-pcm,emotion_tts_026.wav,Audio/TTS/emotion_tts_026.wav,"short laugh reactions should be fast, bright, and varied"
27,emotion_tts_027,05:36.906,世界上压力最大的男人,tense_fan,seat_front,晓墨(成年女),zh-CN-XiaomoNeural,严肃,serious,1.25,+6%,-6%,loud,riff-16khz-16bit-mono-pcm,emotion_tts_027.wav,Audio/TTS/emotion_tts_027.wav,nervous but still quick enough to sit under match audio
28,emotion_tts_028,05:48.241,自带百分百点球命中天赋！,excited_fan,seat_back,晓晓(年轻女),zh-CN-XiaoxiaoNeural,开心,cheerful,1.35,+14%,+8%,x-loud,riff-16khz-16bit-mono-pcm,emotion_tts_028.wav,Audio/TTS/emotion_tts_028.wav,positive reactions should sound present but not like formal narration
29,emotion_tts_029,05:55.655,救赎,chant_fan,seat_left,云皓(成年男),zh-CN-YunhaoNeural,兴奋,excited,1.65,+12%,+2%,x-loud,riff-16khz-16bit-mono-pcm,emotion_tts_029.wav,Audio/TTS/emotion_tts_029.wav,chant/cheer lines should cut through the video more clearly
30,emotion_tts_030,06:04.148,庆祝,chant_fan,seat_right,云枫(年轻男),zh-CN-YunfengNeural,开心,cheerful,1.65,+12%,+6%,x-loud,riff-16khz-16bit-mono-pcm,emotion_tts_030.wav,Audio/TTS/emotion_tts_030.wav,chant/cheer lines should cut through the video more clearly
31,emotion_tts_031,06:09.649,永远看不腻的一幕,excited_fan,seat_front,晓涵(成年女),zh-CN-XiaohanNeural,兴奋,excited,1.35,+14%,+6%,x-loud,riff-16khz-16bit-mono-pcm,emotion_tts_031.wav,Audio/TTS/emotion_tts_031.wav,positive reactions should sound present but not like formal narration
32,emotion_tts_032,06:19.336,king of the football,excited_fan,seat_back,晓辰(年轻女),zh-CN-XiaochenNeural,友好,friendly,1.35,+14%,+6%,x-loud,riff-16khz-16bit-mono-pcm,emotion_tts_032.wav,Audio/TTS/emotion_tts_032.wav,positive reactions should sound present but not like formal narration
33,emotion_tts_033,06:22.541,自我救赎,excited_fan,seat_left,晓梦(年轻女),zh-CN-XiaomengNeural,开心,cheerful,1.35,+14%,+9%,x-loud,riff-16khz-16bit-mono-pcm,emotion_tts_033.wav,Audio/TTS/emotion_tts_033.wav,positive reactions should sound present but not like formal narration
34,emotion_tts_034,06:23.357,21世纪最精彩的世界杯决赛！,excited_fan,seat_right,云扬(成年男),zh-CN-YunyangNeural,兴奋,excited,1.35,+14%,+3%,x-loud,riff-16khz-16bit-mono-pcm,emotion_tts_034.wav,Audio/TTS/emotion_tts_034.wav,positive reactions should sound present but not like formal narration
35,emotion_tts_035,06:26.099,救赎,chant_fan,seat_front,云健(成年男),zh-CN-YunjianNeural,兴奋,excited,1.65,+12%,+1%,x-loud,riff-16khz-16bit-mono-pcm,emotion_tts_035.wav,Audio/TTS/emotion_tts_035.wav,chant/cheer lines should cut through the video more clearly
36,emotion_tts_036,06:30.620,哈哈哈哈。,amused_fan,seat_back,晓伊(年轻女),zh-CN-XiaoyiNeural,轻松聊天,chat,1.45,+24%,+8%,x-loud,riff-16khz-16bit-mono-pcm,emotion_tts_036.wav,Audio/TTS/emotion_tts_036.wav,"short laugh reactions should be fast, bright, and varied"
37,emotion_tts_037,06:40.023,冲,chant_fan,seat_left,云扬(成年男),zh-CN-YunyangNeural,兴奋,excited,1.65,+12%,+4%,x-loud,riff-16khz-16bit-mono-pcm,emotion_tts_037.wav,Audio/TTS/emotion_tts_037.wav,chant/cheer lines should cut through the video more clearly
38,emotion_tts_038,06:53.034,哭了,excited_fan,seat_right,晓晓(年轻女),zh-CN-XiaoxiaoNeural,开心,cheerful,1.35,+14%,+8%,x-loud,riff-16khz-16bit-mono-pcm,emotion_tts_038.wav,Audio/TTS/emotion_tts_038.wav,positive reactions should sound present but not like formal narration
39,emotion_tts_039,07:32.035,圆满了！,excited_fan,seat_front,晓涵(成年女),zh-CN-XiaohanNeural,兴奋,excited,1.35,+14%,+6%,x-loud,riff-16khz-16bit-mono-pcm,emotion_tts_039.wav,Audio/TTS/emotion_tts_039.wav,positive reactions should sound present but not like formal narration
40,emotion_tts_040,07:50.964,这是最好的结局,excited_fan,seat_back,晓辰(年轻女),zh-CN-XiaochenNeural,友好,friendly,1.35,+14%,+6%,x-loud,riff-16khz-16bit-mono-pcm,emotion_tts_040.wav,Audio/TTS/emotion_tts_040.wav,positive reactions should sound present but not like formal narration
41,emotion_tts_041,08:00.003,最脏的决赛,tense_fan,seat_left,云健(成年男),zh-CN-YunjianNeural,严肃,serious,1.25,+6%,-8%,loud,riff-16khz-16bit-mono-pcm,emotion_tts_041.wav,Audio/TTS/emotion_tts_041.wav,nervous but still quick enough to sit under match audio
42,emotion_tts_042,08:26.097,not last shot,excited_fan,seat_right,晓梦(年轻女),zh-CN-XiaomengNeural,开心,cheerful,1.35,+14%,+9%,x-loud,riff-16khz-16bit-mono-pcm,emotion_tts_042.wav,Audio/TTS/emotion_tts_042.wav,positive reactions should sound present but not like formal narration
43,emotion_tts_043,08:39.117,绷不住了,tense_fan,seat_front,云希(年轻男),zh-CN-YunxiNeural,紧张/恐惧,fearful,1.25,+6%,-4%,loud,riff-16khz-16bit-mono-pcm,emotion_tts_043.wav,Audio/TTS/emotion_tts_043.wav,nervous but still quick enough to sit under match audio
44,emotion_tts_044,08:58.008,好圆,excited_fan,seat_back,云扬(成年男),zh-CN-YunyangNeural,兴奋,excited,1.35,+14%,+3%,x-loud,riff-16khz-16bit-mono-pcm,emotion_tts_044.wav,Audio/TTS/emotion_tts_044.wav,positive reactions should sound present but not like formal narration
45,emotion_tts_045,09:00.242,什么时候看都激动的比赛,excited_fan,seat_left,晓晓(年轻女),zh-CN-XiaoxiaoNeural,开心,cheerful,1.35,+14%,+8%,x-loud,riff-16khz-16bit-mono-pcm,emotion_tts_045.wav,Audio/TTS/emotion_tts_045.wav,positive reactions should sound present but not like formal narration
